ID,ElevationIV,SLPangleIV,ProflieCVTIV,RoadDISTIV,LINEDISTIV,RSMTIV,LanduseIV,TopographyIV,NDVIIV,Class
361624,0.0254,0.0543,0.0367,0.1801,0.1484,0.0174,0.3193,0.095,0.1678,landslide
363213,0.254,0.0856,0.0682,0.1801,0.1484,0.0174,0.3193,0.2153,0.006,landslide
363215,0.254,0.0856,0.0367,0.1801,0.1484,0.0174,0.3149,0.2153,0.1678,landslide
365965,0.254,0.0856,0.0367,0.4077,0.009,0.0174,0.0183,0.2153,0.2815,landslide
364888,0.254,0.0856,0.0682,0.4077,0.009,0.0005,0.3193,0.095,0.1678,landslide
365370,0.254,0.0543,0.0367,0.4077,0.1484,0.0005,0.2328,0.2153,0.5389,landslide
367024,0.3338,0.0543,0.0367,0.1801,0.1484,0.0174,0.3149,0.2153,0.2815,landslide
368115,0.254,0.0002,0.0367,0.0032,0.1484,0.0005,0.1381,0.2153,0.1678,landslide
369767,0.3338,0.0002,0.0367,0.1801,0.1484,0.0174,0.3149,0.2153,0.0873,landslide
370910,0.254,0.0856,0.0682,0.1801,0.1484,0.0174,0.3193,0.095,0.1678,landslide
373607,0.3338,0.0354,0.0367,0.1801,0.1484,0.0174,0.1381,0.2153,0.0873,landslide
374704,0.3338,0.0002,0.0367,0.4077,0.1484,0.0174,0.3149,0.2153,0.006,landslide
377983,0.254,0.0856,0.0367,0.0032,0.009,0.2263,0.3149,0.2153,0.1678,landslide
376903,0.3338,0.0543,0.0367,0.1801,0.1484,0.0174,0.1025,0.2153,0.2815,landslide
379077,0.254,0.0002,0.0682,0.4077,0.009,0.2263,0.3193,0.2153,0.006,landslide
379650,0.3338,0.0002,0.0367,0.4077,0.1484,0.0174,0.1025,0.2153,0.1678,landslide
380723,0.254,0.0002,0.0367,0.0032,0.009,0.2263,0.3193,0.2153,0.1678,landslide
385144,0.3338,0.0354,0.0367,0.1801,0.1484,0.0174,0.1025,0.2153,0.1678,landslide
387350,0.254,0.0002,0.0367,0.2612,0.009,0.0174,0.3193,0.2153,0.2815,landslide
387868,0.254,0.0543,0.0367,0.2612,0.009,0.2263,0.3149,0.2153,0.1678,landslide
